date,review_count,snapshot_date
2023-06-30,6187,"22 December, 2024"
2023-07-31,6776,"22 December, 2024"
2023-08-31,6297,"22 December, 2024"
2023-09-30,6519,"22 December, 2024"
2023-10-31,7572,"22 December, 2024"
2023-11-30,6219,"22 December, 2024"
2023-12-31,6841,"22 December, 2024"
2024-01-31,5347,"22 December, 2024"
2024-02-29,5837,"22 December, 2024"
2024-03-31,7603,"22 December, 2024"
2024-04-30,8852,"22 December, 2024"
2024-05-31,9201,"22 December, 2024"
2024-06-30,8810,"22 December, 2024"
2024-07-31,9586,"22 December, 2024"
2024-08-31,9063,"22 December, 2024"
2024-09-30,9178,"22 December, 2024"
2024-10-31,10807,"22 December, 2024"
2024-11-30,10137,"22 December, 2024"
2024-12-31,5265,"22 December, 2024"
