date,review_count,snapshot_date
2011-11-30,118,"12 September, 2025"
2011-12-31,90,"12 September, 2025"
2012-01-31,136,"12 September, 2025"
2012-02-29,103,"12 September, 2025"
2012-03-31,151,"12 September, 2025"
2012-04-30,202,"12 September, 2025"
2012-05-31,250,"12 September, 2025"
2012-06-30,281,"12 September, 2025"
2012-07-31,341,"12 September, 2025"
2012-08-31,286,"12 September, 2025"
2012-09-30,396,"12 September, 2025"
2012-10-31,445,"12 September, 2025"
2012-11-30,335,"12 September, 2025"
2012-12-31,284,"12 September, 2025"
2013-01-31,421,"12 September, 2025"
2013-02-28,252,"12 September, 2025"
2013-03-31,439,"12 September, 2025"
2013-04-30,612,"12 September, 2025"
2013-05-31,702,"12 September, 2025"
2013-06-30,884,"12 September, 2025"
2013-07-31,954,"12 September, 2025"
2013-08-31,692,"12 September, 2025"
2013-09-30,985,"12 September, 2025"
2013-10-31,962,"12 September, 2025"
2013-11-30,740,"12 September, 2025"
2013-12-31,764,"12 September, 2025"
2014-01-31,902,"12 September, 2025"
2014-02-28,650,"12 September, 2025"
2014-03-31,923,"12 September, 2025"
2014-04-30,1484,"12 September, 2025"
2014-05-31,1575,"12 September, 2025"
2014-06-30,2028,"12 September, 2025"
2014-07-31,2136,"12 September, 2025"
2014-08-31,1902,"12 September, 2025"
2014-09-30,2478,"12 September, 2025"
2014-10-31,2779,"12 September, 2025"
2014-11-30,1831,"12 September, 2025"
2014-12-31,1908,"12 September, 2025"
2015-01-31,2189,"12 September, 2025"
2015-02-28,1575,"12 September, 2025"
2015-03-31,2180,"12 September, 2025"
2015-04-30,3261,"12 September, 2025"
2015-05-31,4009,"12 September, 2025"
2015-06-30,4692,"12 September, 2025"
2015-07-31,5245,"12 September, 2025"
2015-08-31,4376,"12 September, 2025"
2015-09-30,5295,"12 September, 2025"
2015-10-31,5574,"12 September, 2025"
2015-11-30,3525,"12 September, 2025"
2015-12-31,3584,"12 September, 2025"
2016-01-31,3641,"12 September, 2025"
2016-02-29,3000,"12 September, 2025"
2016-03-31,4032,"12 September, 2025"
2016-04-30,4752,"12 September, 2025"
2016-05-31,6199,"12 September, 2025"
2016-06-30,8036,"12 September, 2025"
2016-07-31,7697,"12 September, 2025"
2016-08-31,5349,"12 September, 2025"
2016-09-30,6823,"12 September, 2025"
2016-10-31,7941,"12 September, 2025"
2016-11-30,5376,"12 September, 2025"
2016-12-31,5543,"12 September, 2025"
2017-01-31,6322,"12 September, 2025"
2017-02-28,4769,"12 September, 2025"
2017-03-31,6727,"12 September, 2025"
2017-04-30,8442,"12 September, 2025"
2017-05-31,9373,"12 September, 2025"
2017-06-30,10825,"12 September, 2025"
2017-07-31,11128,"12 September, 2025"
2017-08-31,7621,"12 September, 2025"
2017-09-30,9778,"12 September, 2025"
2017-10-31,10249,"12 September, 2025"
2017-11-30,7386,"12 September, 2025"
2017-12-31,7576,"12 September, 2025"
2018-01-31,8649,"12 September, 2025"
2018-02-28,6980,"12 September, 2025"
2018-03-31,9699,"12 September, 2025"
2018-04-30,11439,"12 September, 2025"
2018-05-31,12143,"12 September, 2025"
2018-06-30,13970,"12 September, 2025"
2018-07-31,14823,"12 September, 2025"
2018-08-31,11686,"12 September, 2025"
2018-09-30,14209,"12 September, 2025"
2018-10-31,15168,"12 September, 2025"
