date,review_count,snapshot_date
2012-04-30,67,"21 December, 2024"
2012-05-31,90,"21 December, 2024"
2012-06-30,88,"21 December, 2024"
2012-07-31,136,"21 December, 2024"
2012-08-31,125,"21 December, 2024"
2012-09-30,150,"21 December, 2024"
2012-10-31,178,"21 December, 2024"
2012-11-30,126,"21 December, 2024"
2012-12-31,124,"21 December, 2024"
2013-01-31,123,"21 December, 2024"
2013-02-28,88,"21 December, 2024"
2013-03-31,144,"21 December, 2024"
2013-04-30,196,"21 December, 2024"
2013-05-31,250,"21 December, 2024"
2013-06-30,219,"21 December, 2024"
2013-07-31,306,"21 December, 2024"
2013-08-31,330,"21 December, 2024"
2013-09-30,329,"21 December, 2024"
2013-10-31,341,"21 December, 2024"
2013-11-30,260,"21 December, 2024"
2013-12-31,225,"21 December, 2024"
2014-01-31,268,"21 December, 2024"
2014-02-28,223,"21 December, 2024"
2014-03-31,302,"21 December, 2024"
2014-04-30,412,"21 December, 2024"
2014-05-31,508,"21 December, 2024"
2014-06-30,553,"21 December, 2024"
2014-07-31,628,"21 December, 2024"
2014-08-31,662,"21 December, 2024"
2014-09-30,790,"21 December, 2024"
2014-10-31,777,"21 December, 2024"
2014-11-30,632,"21 December, 2024"
2014-12-31,589,"21 December, 2024"
2015-01-31,615,"21 December, 2024"
2015-02-28,552,"21 December, 2024"
2015-03-31,736,"21 December, 2024"
2015-04-30,895,"21 December, 2024"
2015-05-31,1171,"21 December, 2024"
2015-06-30,1285,"21 December, 2024"
2015-07-31,1327,"21 December, 2024"
2015-08-31,1398,"21 December, 2024"
2015-09-30,1618,"21 December, 2024"
2015-10-31,1483,"21 December, 2024"
2015-11-30,1068,"21 December, 2024"
2015-12-31,1042,"21 December, 2024"
2016-01-31,1192,"21 December, 2024"
2016-02-29,1142,"21 December, 2024"
2016-03-31,1419,"21 December, 2024"
2016-04-30,1574,"21 December, 2024"
2016-05-31,1916,"21 December, 2024"
2016-06-30,1794,"21 December, 2024"
2016-07-31,2076,"21 December, 2024"
2016-08-31,2037,"21 December, 2024"
2016-09-30,2487,"21 December, 2024"
2016-10-31,2112,"21 December, 2024"
2016-11-30,1709,"21 December, 2024"
2016-12-31,1586,"21 December, 2024"
2017-01-31,1801,"21 December, 2024"
2017-02-28,1644,"21 December, 2024"
2017-03-31,2021,"21 December, 2024"
2017-04-30,2563,"21 December, 2024"
2017-05-31,2956,"21 December, 2024"
2017-06-30,2923,"21 December, 2024"
2017-07-31,3438,"21 December, 2024"
2017-08-31,3093,"21 December, 2024"
2017-09-30,3539,"21 December, 2024"
2017-10-31,3250,"21 December, 2024"
2017-11-30,2204,"21 December, 2024"
2017-12-31,2145,"21 December, 2024"
2018-01-31,2380,"21 December, 2024"
2018-02-28,2352,"21 December, 2024"
2018-03-31,2827,"21 December, 2024"
2018-04-30,3335,"21 December, 2024"
2018-05-31,3969,"21 December, 2024"
2018-06-30,4028,"21 December, 2024"
2018-07-31,4562,"21 December, 2024"
2018-08-31,4581,"21 December, 2024"
2018-09-30,5401,"21 December, 2024"
2018-10-31,4943,"21 December, 2024"
2018-11-30,3980,"21 December, 2024"
2018-12-31,3751,"21 December, 2024"
2019-01-31,3751,"21 December, 2024"
2019-02-28,3742,"21 December, 2024"
2019-03-31,4642,"21 December, 2024"
2019-04-30,5303,"21 December, 2024"
2019-05-31,5793,"21 December, 2024"
2019-06-30,6138,"21 December, 2024"
2019-07-31,5809,"21 December, 2024"
2019-08-31,5790,"21 December, 2024"
2019-09-30,6793,"21 December, 2024"
2019-10-31,6075,"21 December, 2024"
2019-11-30,4928,"21 December, 2024"
2019-12-31,4659,"21 December, 2024"
2020-01-31,4599,"21 December, 2024"
2020-02-29,4709,"21 December, 2024"
2020-03-31,2914,"21 December, 2024"
2020-04-30,332,"21 December, 2024"
2020-05-31,701,"21 December, 2024"
2020-06-30,1718,"21 December, 2024"
2020-07-31,3047,"21 December, 2024"
2020-08-31,4263,"21 December, 2024"
2020-09-30,3255,"21 December, 2024"
2020-10-31,2650,"21 December, 2024"
2020-11-30,1196,"21 December, 2024"
2020-12-31,933,"21 December, 2024"
2021-01-31,817,"21 December, 2024"
2021-02-28,878,"21 December, 2024"
2021-03-31,1299,"21 December, 2024"
2021-04-30,1334,"21 December, 2024"
2021-05-31,2040,"21 December, 2024"
2021-06-30,2783,"21 December, 2024"
2021-07-31,4524,"21 December, 2024"
2021-08-31,6335,"21 December, 2024"
2021-09-30,5664,"21 December, 2024"
2021-10-31,6245,"21 December, 2024"
2021-11-30,5729,"21 December, 2024"
2021-12-31,4222,"21 December, 2024"
2022-01-31,3750,"21 December, 2024"
2022-02-28,3779,"21 December, 2024"
2022-03-31,5057,"21 December, 2024"
2022-04-30,6871,"21 December, 2024"
2022-05-31,7800,"21 December, 2024"
2022-06-30,8104,"21 December, 2024"
2022-07-31,9009,"21 December, 2024"
2022-08-31,8484,"21 December, 2024"
2022-09-30,8912,"21 December, 2024"
2022-10-31,8487,"21 December, 2024"
2022-11-30,6933,"21 December, 2024"
2022-12-31,5861,"21 December, 2024"
2023-01-31,5896,"21 December, 2024"
2023-02-28,6077,"21 December, 2024"
2023-03-31,7016,"21 December, 2024"
2023-04-30,8351,"21 December, 2024"
2023-05-31,9633,"21 December, 2024"
2023-06-30,9882,"21 December, 2024"
2023-07-31,10445,"21 December, 2024"
2023-08-31,9274,"21 December, 2024"
2023-09-30,10812,"21 December, 2024"
2023-10-31,10377,"21 December, 2024"
2023-11-30,7545,"21 December, 2024"
2023-12-31,7323,"21 December, 2024"
2024-01-31,6500,"21 December, 2024"
2024-02-29,7145,"21 December, 2024"
2024-03-31,9031,"21 December, 2024"
2024-04-30,10617,"21 December, 2024"
2024-05-31,12322,"21 December, 2024"
2024-06-30,14253,"21 December, 2024"
2024-07-31,14011,"21 December, 2024"
2024-08-31,12515,"21 December, 2024"
2024-09-30,14668,"21 December, 2024"
2024-10-31,13034,"21 December, 2024"
2024-11-30,9804,"21 December, 2024"
2024-12-31,4475,"21 December, 2024"
